"ds_nome","ds_codigo","venues","venues_color","railway","railway_color","bus","bus_color","parking","parking_color","topography","topography_color","final_score","final_score_color"
"SAO RAFAEL",75,2.31213872832309,"#E3834D",0.00000000000007124391740666,"#CE3F3E",4.92972736819596,"#FCD05E",4.95359412305,"#FCD15E",4.07175706929526,"#F4B758",3.22611209823345,"#EC9E53"
"SAPOPEMBA",76,7.57225433524129,"#8EBB67",0.0000000000474652122674599,"#CE3F3E",6.57741495249732,"#B9C464",6.53247303773,"#BBC464",6.25709904592708,"#C6C763",6.0664386815311,"#CFC962"
"SAUDE",77,7.22587143107458,"#9DBE66",4.69349911173927,"#FAC95C",6.71120091845165,"#B3C364",8.34448111062,"#6DB46A",7.86106398791281,"#81B868",7.2233319330859,"#9DBE66"
"SE",78,6.99919966492948,"#A7C065",10,"#26A570",10,"#26A570",9.89116587403,"#2AA66F",8.86555610727898,"#56AF6C",8.60949257673949,"#61B16B"
"SOCORRO",79,6.98217726393888,"#A7C065",1.51793032867357,"#DC6B48",6.9438877667715,"#A9C165",6.70443240925,"#B3C364",9.45615340303822,"#3DAA6E",7.16458250062515,"#9FBF66"
"TATUAPE",80,7.89437543555974,"#80B868",3.68971356254009,"#F0AC56",7.50347833946995,"#91BB67",8.53902555183,"#64B26B",9.42895309258443,"#3EAA6E",7.96691144869695,"#7DB769"
"TREMEMBE",81,7.85324341682566,"#82B868",0.00000263858950710655,"#CE3F3E",3.60034916939826,"#EFA955",5.18788812223,"#F4D15F",0.394505540727772,"#D14A40",3.72572075587534,"#F1AD56"
"TUCURUVI",82,5.88070006420036,"#D7CA61",2.79691538178422,"#E89150",6.31878695288415,"#C4C663",6.37147014995,"#C2C663",6.61052437236754,"#B7C464",5.88453842159134,"#D6CA62"
"VILA ANDRADE",83,8.99727039177442,"#51AE6C",2.21293059735124,"#E2804C",6.40867119350623,"#C0C663",0,"#CE3F3E",4.44715392003094,"#F7C25B",5.4394305251415,"#EACE60"
"VILA CURUCA",84,0,"#CE3F3E",1.06970372906729,"#D85E45",6.92765803876269,"#AAC165",6.71368340825,"#B3C364",8.0093596815781,"#7BB769",4.30434713564603,"#F6BE5A"
"VILA FORMOSA",85,8.96109982813933,"#52AE6C",0.00960257230694325,"#CE3F3E",6.79819099370686,"#AFC265",7.96743051011,"#7DB769",7.15776931105159,"#A0BF66",7.01464794374406,"#A6C065"
"VILA GUILHERME",86,8.68139487358747,"#5EB16B",0.464798293129111,"#D24C41",6.72862084592457,"#B2C364",7.14717982176,"#A0BF66",8.8821600372903,"#56AF6C",7.44791818816077,"#93BC67"
"VILA JACUI",87,2.13680154140339,"#E27E4C",0.00421416197342393,"#CE3F3E",7.28325506231227,"#9ABD66",6.46747502392,"#BDC563",7.60700115945128,"#8CBB67",4.77626137230774,"#FACC5D"
"VILA LEOPOLDINA",88,6.76882991767817,"#B0C265",4.72362871558378,"#FACA5D",6.31474272516679,"#C4C663",5.41251685742,"#EBCF60",9.50032480811008,"#3BA96E",7.25092805283726,"#9CBE66"
"VILA MARIA",89,8.42739777349657,"#69B36A",0.000392743843980397,"#CE3F3E",5.68082489535053,"#DFCC61",7.86172850013,"#81B868",8.82708944315794,"#58AF6C",7.25626753214312,"#9BBE66"
"VILA MARIANA",90,7.13402844676827,"#A1BF66",6.28143334080173,"#C5C763",7.65887136414353,"#8ABA68",9.10387883362,"#4CAD6C",7.69564224871847,"#89BA68",7.50368840278061,"#91BB67"
"VILA MATILDE",91,6.37945568400643,"#C1C663",3.40233560564711,"#EDA354",6.18681010989753,"#C9C863",6.05109363039,"#CFC962",7.3065843220791,"#99BD66",6.29981770713236,"#C5C763"
"VILA MEDEIROS",92,2.96543834295277,"#E99651",0.0036670007025921,"#CE3F3E",6.19721960913445,"#C9C763",7.40229836955,"#95BC67",8.75640006815595,"#5BB06B",5.41874446807924,"#EACF60"
"VILA PRUDENTE",93,5.96499678867213,"#D3CA62",3.31731381200805,"#EDA153",6.77550874279516,"#B0C265",7.78500604929,"#85B968",8.12874160389024,"#76B669",6.68433819797559,"#B4C364"
"VILA SONIA",94,9.46986726609424,"#3CA96E",0.0000000446857732648342,"#CE3F3E",6.26944892672543,"#C6C763",6.32933219415,"#C3C663",6.30994721984046,"#C4C663",6.65980273592947,"#B5C364"
